"# Weather station Nairobi (airport), Kenya, WMO_ID=63740,selection from 01.01.2016 till 31.12.2016, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=63740&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Nairobi (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.10.2016 03:00,15.2,,,,81,Wind blowing from the north-east,4,,,no clouds, ,,,,,,,,,,30.0,11.9,,,,,,
18.10.2016 21:00,21.8,,,,44,Wind blowing from the east,5,,,"10%  or less, but not 0", ,,,,28.5,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,8.8,,,,,,
18.10.2016 15:00,28.2,,,,37,Wind blowing from the east-northeast,5,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.2,,,,,,
18.10.2016 09:00,19.0,,,,73,Wind blowing from the north-east,4,,,60%., ,,,13.8,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.0,,,,,,
18.10.2016 03:00,15.4,,,,80,Wind blowing from the north-east,4,,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.0,,,,,,
17.10.2016 21:00,21.8,,,,49,Wind blowing from the east,7,,,40%., ,,,,29.8,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20.0,10.5,,,,,,
17.10.2016 15:00,28.9,,,,29,Wind blowing from the east,5,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",30.0,8.9,,,,,,
17.10.2016 03:00,14.7,,,,87,Wind blowing from the north-northeast,4,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.6,,,,,,
16.10.2016 21:00,21.0,,,,49,Wind blowing from the east,6,,,no clouds, ,,,,29.0,,,,,,30.0,9.9,,,,,,
16.10.2016 15:00,28.6,,,,26,Wind blowing from the east,4,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30.0,7.3,,,,,,
16.10.2016 09:00,19.0,,,,67,Wind blowing from the north-east,3,,,"10%  or less, but not 0", ,,,12.1,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30.0,12.6,,,,,,
16.10.2016 03:00,14.4,,,,83,Wind blowing from the north-east,1,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20.0,11.6,,,,,,
15.10.2016 21:00,21.2,,,,45,Wind blowing from the east,7,,,"10%  or less, but not 0", ,,,,28.5,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,8.9,,,,,,
15.10.2016 15:00,28.3,,,,31,Wind blowing from the north-east,4,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,9.6,,,,,,
15.10.2016 09:00,17.5,,,,75,Wind blowing from the east-southeast,2,,,"90  or more, but not 100%", ,,,14.8,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,Altocumulus translucidus at a single level.,,20.0,13.0,,,,,,
15.10.2016 03:00,15.2,,,,90,Wind blowing from the north-northeast,2,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,20.0,13.6,,,,,,
14.10.2016 21:00,21.4,,,,48,Wind blowing from the east,5,,,40%., ,,,,28.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",30.0,10.0,,,,,,
14.10.2016 15:00,27.5,,,,35,variable wind direction,2,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,10.5,,,,,,
14.10.2016 09:00,17.2,,,,76,Wind blowing from the east-northeast,4,,,"90  or more, but not 100%", ,,,14.0,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,20.0,12.9,,,,,,
14.10.2016 03:00,14.2,,,,91,Wind blowing from the north-east,1,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",30.0,12.8,,,,,,
13.10.2016 21:00,21.0,,,,43,Wind blowing from the east-northeast,3,,,40%., ,,,,29.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",30.0,7.9,,,,,,
13.10.2016 15:00,28.0,,,,30,Wind blowing from the east,5,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,8.9,,,,,,
13.10.2016 03:00,14.8,,,,73,Wind blowing from the north-east,3,,,no clouds, ,,,,,,,,,,20.0,10.0,,,,,,
12.10.2016 21:00,20.8,,,,48,Wind blowing from the east,4,,,"10%  or less, but not 0", ,,,,28.2,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,9.2,,,,,,
12.10.2016 15:00,28.2,,,,32,Wind blowing from the north-northeast,5,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",30.0,9.9,,,,,,
12.10.2016 09:00,17.8,,,,76,Wind blowing from the north,3,,,"90  or more, but not 100%", ,,,13.8,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,,30.0,13.4,,,,,,
12.10.2016 03:00,14.3,,,,84,Wind blowing from the north-northeast,3,,,50%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,11.6,,,,,,
11.10.2016 21:00,21.4,,,,47,Wind blowing from the east,5,,,50%., ,,,,27.5,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,9.6,,,,,,
11.10.2016 15:00,27.5,,,,35,Wind blowing from the north-northeast,4,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,10.5,,,,,,
11.10.2016 09:00,19.0,,,,73,Wind blowing from the north-east,3,,,"90  or more, but not 100%", ,,,15.5,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",25.0,14.0,,,,,,
11.10.2016 03:00,16.5,,,,88,Wind blowing from the east-northeast,5,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.5,,,,,,
10.10.2016 21:00,20.7,,,,57,Wind blowing from the east,8,,,"10%  or less, but not 0", ,,,,28.0,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,11.9,,,,,,
10.10.2016 15:00,28.0,,,,32,Wind blowing from the east-northeast,7,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,10.0,,,,,,
10.10.2016 09:00,20.8,,,,68,Wind blowing from the north,2,,,40%., ,,,14.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.6,,,,,,
10.10.2016 03:00,16.0,,,,90,Wind blowing from the north-east,4,,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,14.4,,,,,,
09.10.2016 21:00,21.0,,,,59,Wind blowing from the east,9,,,50%., ,,,,29.3,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.7,,,,,,
09.10.2016 15:00,29.0,,,,29,Wind blowing from the east,7,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,9.3,,,,,,
09.10.2016 09:00,20.0,,,,71,Wind blowing from the north-northeast,5,,,60%., ,,,15.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.6,,,,,,
09.10.2016 03:00,18.3,,,,80,Wind blowing from the east-northeast,5,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,20.0,14.8,,,,,,
08.10.2016 21:00,22.7,,,,49,Wind blowing from the east,8,,,40%., ,,,,29.7,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,11.5,,,,,,
08.10.2016 15:00,28.5,,,,27,Wind blowing from the east-northeast,6,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,7.7,,,,,,
08.10.2016 09:00,20.0,,,,67,Wind blowing from the north-northeast,2,,,70 – 80%., ,,,14.6,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.7,,,,,,
08.10.2016 03:00,16.7,,,,86,Wind blowing from the east-northeast,4,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.3,,,,,,
07.10.2016 21:00,23.2,,,,49,Wind blowing from the east,7,,,60%., ,,,,30.4,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.0,,,,,,
07.10.2016 15:00,29.6,,,,32,Wind blowing from the east-northeast,6,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,11.2,,,,,,
07.10.2016 09:00,19.7,,,,69,Wind blowing from the north,3,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,,,30.0,13.9,Trace of precipitation,24,,,,
06.10.2016 21:00,21.0,,,,61,Wind blowing from the east,7,,,50%., ,,,,28.5,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.1,Trace of precipitation,12,,,,
06.10.2016 15:00,27.4,,,,40,Wind blowing from the east-northeast,5,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.7,,,,,,
06.10.2016 09:00,18.5,,,,79,variable wind direction,3,,,"90  or more, but not 100%", ,,,15.0,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",300-600,,,20.0,14.7,,,,,,
06.10.2016 03:00,17.0,,,,83,Wind blowing from the east-northeast,3,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,30.0,14.0,,,,,,
05.10.2016 21:00,20.1,,,,63,Wind blowing from the east,7,,,"10%  or less, but not 0", ,,,,26.0,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.9,,,,,,
05.10.2016 15:00,24.4,,,,49,Wind blowing from the north-northeast,4,,,"10%  or less, but not 0", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",600-1000,,,30.0,12.9,,,,,,
05.10.2016 09:00,17.8,,,,92,Wind blowing from the east,2,,,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,16.0,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",200-300,,,10.0,16.4,1,24,,,,
05.10.2016 03:00,16.5,,,,91,Wind blowing from the east-northeast,4,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,,30.0,15.0,,,,,,
04.10.2016 21:00,20.0,,,,71,Wind blowing from the north-northeast,6,,,70 – 80%., ,,,,27.0,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altostratus translucidus.,,20.0,14.6,,,,,,
04.10.2016 15:00,25.5,,,,47,Wind blowing from the east,6,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,Altocumulus translucidus at a single level.,,30.0,13.4,,,,,,
04.10.2016 09:00,19.6,,,,80,Wind blowing from the north-east,2,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,300-600,Altocumulus translucidus at a single level.,,20.0,16.1,,,,,,
04.10.2016 03:00,17.2,,,,92,Wind blowing from the east-northeast,4,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,15.8,15,18,,,,
03.10.2016 21:00,19.0,,,,81,variable wind direction,3,,,"90  or more, but not 100%","Rain shower(s), slight. ",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,30.5,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.",,20.0,15.7,7,12,,,,
03.10.2016 15:00,29.5,,,,29,Wind blowing from the east-northeast,7,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",60%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30.0,9.8,,,,,,
03.10.2016 09:00,19.6,,,,76,variable wind direction,2,,,60%., ,,,13.9,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,300-600,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",25.0,15.2,,,,,,
03.10.2016 03:00,16.0,,,,91,Wind blowing from the north-northeast,3,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,30.0,14.5,,,,,,
02.10.2016 21:00,19.6,,,,67,Wind blowing from the east,5,,,"10%  or less, but not 0", ,,,,28.5,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30.0,13.3,,,,,,
02.10.2016 15:00,27.8,,,,38,Wind blowing from the north-northeast,5,,,60%., ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30.0,12.0,,,,,,
02.10.2016 09:00,17.0,,,,82,Wind blowing from the north-east,4,,,"90  or more, but not 100%", ,,,15.4,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,25.0,13.9,,,,,,
02.10.2016 03:00,15.7,,,,86,Wind blowing from the north-northeast,3,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.4,,,,,,
01.10.2016 21:00,19.0,,,,73,variable wind direction,2,,,40%., ,,,,27.2,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,14.0,,,,,,
01.10.2016 15:00,27.0,,,,41,Wind blowing from the north-east,3,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",60%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",25.0,12.7,,,,,,
01.10.2016 09:00,17.0,,,,80,Wind blowing from the east,2,,,"90  or more, but not 100%", ,,,13.2,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,20.0,13.5,,,,,,
01.10.2016 03:00,14.7,,,,88,Wind blowing from the east-northeast,2,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.8,,,,,,
30.09.2016 21:00,21.6,,,,48,Wind blowing from the east,7,,,70 – 80%., ,,,,27.2,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,,20.0,10.2,,,,,,
30.09.2016 15:00,26.5,,,,42,Wind blowing from the east-southeast,5,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.7,,,,,,
30.09.2016 09:00,19.5,,,,75,Wind blowing from the east,4,,,70 – 80%., ,,,14.0,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.",,20.0,14.9,,,,,,
30.09.2016 06:00,17.0,,,,89,"Calm, no wind",0,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,15.2,,,,,,
30.09.2016 03:00,17.0,,,,89,"Calm, no wind",0,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,15.2,,,,,,
29.09.2016 21:00,19.9,,,,67,Wind blowing from the east,3,,,40%., ,,,,26.6,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.6,,,,,,
29.09.2016 15:00,25.8,,,,46,Wind blowing from the east,4,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",60%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.4,,,,,,
29.09.2016 09:00,18.7,,,,77,Wind blowing from the west,2,,,"90  or more, but not 100%", ,,,15.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.6,,,,,,
29.09.2016 03:00,17.4,,,,90,Wind blowing from the north-east,2,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,30.0,15.7,,,,,,
28.09.2016 09:00,17.8,,,,79,Wind blowing from the west,3,,,"90  or more, but not 100%", ,,,14.4,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",600-1000,,,30.0,14.1,,,,,,
28.09.2016 03:00,16.3,,,,88,Wind blowing from the north-east,4,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,20.0,14.3,,,,,,
27.09.2016 21:00,20.0,,,,53,Wind blowing from the east,4,,,20–30%., ,,,,26.7,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,10.1,,,,,,
27.09.2016 15:00,25.5,,,,45,Wind blowing from the east,3,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,,,25.0,12.8,,,,,,
27.09.2016 09:00,16.4,,,,79,Wind blowing from the south-east,2,,,60%., ,,,,26.5,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,,,25.0,12.7,,,,,,
27.09.2016 03:00,15.7,,,,80,Wind blowing from the north-east,3,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.3,,,,,,
26.09.2016 21:00,21.1,,,,55,Wind blowing from the east,6,,,60%., ,,,,26.5,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,11.7,,,,,,
26.09.2016 15:00,25.2,,,,49,Wind blowing from the east,4,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,Altocumulus translucidus at a single level.,,30.0,13.6,,,,,,
26.09.2016 09:00,17.2,,,,82,Wind blowing from the south-southwest,2,,,70 – 80%., ,,,14.0,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",25.0,14.1,1,24,,,,
26.09.2016 03:00,16.0,,,,85,variable wind direction,1,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.5,0.2,6,,,,
25.09.2016 21:00,18.0,,,,85,Wind blowing from the east-northeast,4,,,70 – 80%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,26.0,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,Altocumulus translucidus at a single level.,,20.0,15.5,0.7,12,,,,
25.09.2016 15:00,24.5,,,,53,Wind blowing from the east,5,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,,,30.0,14.2,,,,,,
